Data_Unit,Error_Rate,Time_Elapsed,Throughput
1250,25,21.014,2845.388916
1250,25,14.26,4193.057617
1250,25,28.34,2109.844727
1250,25,14.388,4155.754883
1250,25,14.98,3991.522217
1250,25,15.006,3984.606201
1250,25,15.75,3796.380859
1250,25,15.798,3784.846191
1250,25,18.565,3220.737793
1250,25,18.355,3257.58667
1250,50,18.555,3222.473633
1250,50,39.965,1496.134155
1250,50,38.389,1557.555542
1250,50,17.09,3498.712646
1250,50,50.236,1190.242065
1250,50,33.095,1806.707886
1250,50,16.961,3525.322754
1250,50,18.872,3168.344727
1250,50,29.171,2049.741211
1250,50,17.478,3421.043457
1250,50,15.933,3752.777344
1250,50,1025.972,58.279366
1250,50,22.933,2607.290771
1250,50,13.218,4523.604004
1250,50,37.944,1575.822266
1250,50,21.984,2719.841797
1250,50,17.491,3418.500977
1250,50,21.094,2834.597656
1250,50,50.182,1191.522827
1250,50,19.734,3029.948486
1250,50,32.11,1862.130127
1250,50,39.694,1506.348511
1250,50,36.748,1627.108887
1250,50,32.83,1821.291382
1250,50,32.386,1846.26062
1250,50,36.133,1654.803101
1250,50,18.526,3227.518311
1250,50,40.893,1462.181763
1250,50,24.139,2477.028809
1250,50,35.387,1689.688232
1250,50,22.851,2616.646973
1250,50,31.971,1870.226074
1250,50,17.115,3493.602051
1250,50,36.933,1618.95874
1250,50,26.906,2222.29248
1250,50,26.877,2224.690186
1250,50,35.403,1688.924683
1250,50,39.601,1509.886108
1250,50,54.649,1094.128052
1250,50,29.055,2057.924561
1250,50,21.219,2817.89917
1250,50,1019.535,58.647327
1250,50,27.47,2176.665527
1250,50,10.562,5661.143555
1250,50,17.236,3469.076416
1250,50,39.544,1512.062622
1250,50,32.669,1830.267334
1250,50,43.465,1375.658569
1250,50,36.401,1642.619629
1250,50,19.252,3105.807129
1250,50,22.075,2708.629639
1250,50,35.25,1696.255371
1250,50,31.003,1928.619751
1250,50,53.699,1113.484375
1250,50,18.567,3220.391113
1250,50,38.241,1563.583496
1250,50,20.221,2956.975342
1250,50,37.474,1595.586304
1250,50,10.14,5896.745605
1250,50,36.652,1631.370728
1250,75,230.633,259.256042
1250,75,215.016,278.086273
1250,75,115.765,516.503235
1250,75,97.151,615.4646
1250,75,122.943,486.347321
1250,75,74.822,799.136658
1250,75,42.697,1400.402832
1250,75,66.715,896.2453
1250,75,62.87,951.057739
1250,75,74.508,802.504395
1250,75,89.5,668.078186
1250,75,79.187,755.086121
1250,75,98.98,604.091736
1250,75,66.316,901.637573
1250,75,72.203,828.123474
1250,75,43.981,1359.518921
1250,75,71.219,839.565247
1250,75,94.923,629.910583
1250,75,70.806,844.462341
1250,75,26.987,2215.622314
1250,75,137.948,433.445953
1250,75,66.895,893.833679
1250,75,83.476,716.289734
1250,75,1076.861,55.525272
1250,75,72.213,828.00885
1250,75,92.477,646.571594
1250,75,98.156,609.162964
1250,75,72.23,827.813904
1250,75,46.057,1298.239136
1250,75,103.422,578.145874
1250,75,57.121,1046.777954
1250,75,61.735,968.542969
1250,75,117.117,510.540741
1250,75,77.196,774.560852
1250,75,54.598,1095.150024
1250,75,1085.97,55.059532
1250,75,96.382,620.375122
1250,75,57.531,1039.317993
1250,75,67.629,884.132568
1250,75,28.73,2081.204346
1250,75,71.934,831.220337
1250,75,23.302,2566.00293
1250,75,54.014,1106.990723
1250,75,90.324,661.983521
1250,75,107.902,554.141724
1250,75,69.609,858.983765
1250,75,60.914,981.596985
1250,75,74.461,803.010986
1250,75,52.774,1133.001099
1250,75,1097.002,54.505829
1250,75,112.056,533.599243
1250,75,59.362,1007.260559
1250,75,62.673,954.04718
1250,75,77.63,770.230591
1250,75,78.543,761.277283
1250,75,68.738,869.868225
1250,75,61.374,974.239868
1250,75,47.483,1259.25061
1250,75,112.104,533.370789
1250,75,40.623,1471.900146
750,0,16.336,3660.198242
750,0,17.894,3341.51123
750,0,15.761,3793.731445
750,0,16.231,3683.876221
750,0,19.343,3091.195801
750,0,26.003,2299.465332
750,0,27.638,2163.434326
750,0,1021.595,58.529068
750,0,16.915,3534.909668
750,0,15.797,3785.085693
750,0,16.009,3734.961426
750,0,15.806,3782.930664
750,0,15.95,3748.777588
750,0,18.536,3225.7771
750,0,18.544,3224.385254
750,0,17.127,3491.154053
750,0,15.819,3779.821777
750,0,16.077,3719.164062
750,0,28.449,2101.760986
750,0,16.433,3638.593018
750,0,16.947,3528.234863
750,0,27.03,2212.097656
750,0,16.844,3549.810059
750,0,15.912,3757.72998
750,0,16.552,3612.433594
750,0,17.493,3418.110107
750,0,20.521,2913.746826
750,0,17.1,3496.666504
750,0,12.383,4828.635742
750,0,18.802,3180.140381
750,0,27.069,2208.910645
750,0,16.152,3701.894287
750,0,16.685,3583.638184
750,0,28.338,2109.993652
750,0,15.997,3737.763428
750,0,16.6,3601.987793
750,0,21.326,2803.760742
750,0,15.765,3792.768799
750,0,16.9,3538.047363
750,0,15.891,3762.695801
750,0,16.212,3688.193848
750,0,15.517,3853.386475
